actor,movie
Giorgio Pelloni,La settimana di Chiara Brenna
Giorgio Pelloni,Noi lazzaroni
Giorgio Pelloni,Le scarpette bianche
Giorgio Pelloni,Tropici
Giorgio Pelloni,Il viaggio difficile
Giorgio Pelloni,La settimana di Chiara Brenna
Giorgio Pelloni,Noi lazzaroni
Giorgio Pelloni,Le scarpette bianche
Giorgio Pelloni,The Spider's Stratagem
Giorgio Pelloni,La via del petrolio
Giorgio Pelloni,Attraverso l'Europa
Giorgio Pelloni,Il viaggio
Giorgio Pelloni,Le origini
Giorgio Pelloni,Notes Towards an African Orestes
Giorgio Pelloni,Tropici
Giorgio Pelloni,La via del petrolio
Giorgio Pelloni,Attraverso l'Europa
Giorgio Pelloni,The Conformist
Giorgio Pelloni,Tropici
Christian Belaygue,The Conformist
Christian Belaygue,The Specialists
Gianni Amico,Bahia de Todos os Sambas
Gianni Amico,Un amore sconosciuto
Gianni Amico,Grandi mostre: futurismo e futuristi
Gianni Amico,Io con te non ci sto più
Gianni Amico,"Le mani svelte, giovani, donne, fabbrica"
Gianni Amico,Lo specchio rovesciato
Gianni Amico,Elective Affinities
Gianni Amico,Le cinque stagioni
Gianni Amico,Ho incontrato un'ombra
Gianni Amico,Return
Gianni Amico,L'inchiesta
Gianni Amico,Der Leone Have Sept Cabeças
Gianni Amico,Tropici
Gianni Amico,Partner
Gianni Amico,Giovani brasiliani
Gianni Amico,Paolo
Gianni Amico,Before the Revolution
Gianni Amico,Appunti per un film sul Jazz
Gianni Amico,Un amore sconosciuto
Gianni Amico,Grandi mostre: futurismo e futuristi
Gianni Amico,Farewell to Enrico Berlinguer
Gianni Amico,Io con te non ci sto più
Gianni Amico,"Le mani svelte, giovani, donne, fabbrica"
Gianni Amico,Lo specchio rovesciato
Gianni Amico,Elective Affinities
Gianni Amico,Le cinque stagioni
Gianni Amico,Il registratore
Gianni Amico,Return
Gianni Amico,Central Park
Gianni Amico,L'inchiesta
Gianni Amico,Tropici
Gianni Amico,Giovani brasiliani
Gianni Amico,Musica Popular Brasileira
Gianni Amico,Paolo
Gianni Amico,Insistiamo
Gianni Amico,L'Italia con Togliatti
Gianni Amico,The Conformist
Gianni Amico,Before the Revolution
Gianni Amico,Le Vent d'Est
Gianni Amico,Before the Revolution
Gianni Amico,A Vida Provisória
Gianni Amico,Bahia de Todos os Sambas
Gianni Amico,Histoire(s) du cinéma
Gianni Amico,La monnaie de l'absolu
Gianni Amico,"Glauber, Claro"
Pierre Clémenti,Le goût des fraises
Jean-Louis Trintignant,Love Is Better Than Life
Pierre Clémenti,Hideous Kinky
Pierre Clémenti,The Negro
Pierre Clémenti,Le bassin de J.W.
Pierre Clémenti,Presumed Suspect
Pierre Clémenti,L'aquila della notte
Pierre Clémenti,Attendre le navire
Pierre Clémenti,KL Transit
Pierre Clémenti,Céleste
Pierre Clémenti,Lapsus
Pierre Clémenti,Massacres
Pierre Clémenti,Clones
Pierre Clémenti,Un bambino di nome Gesù
Pierre Clémenti,L'Autrichienne
Pierre Clémenti,Manon Roland
Pierre Clémenti,Es ist nicht leicht ein Gott zu sein
Pierre Clémenti,Une femme tranquille
Pierre Clémenti,The Sun
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,Une femme innocente
Pierre Clémenti,L'histoire en marche
Pierre Clémenti,Le serment
Pierre Clémenti,Patrik Pacard
Pierre Clémenti,Sechste Folge
Pierre Clémenti,Fünfte Folge
Pierre Clémenti,Vierte Folge
Pierre Clémenti,Christmas Carol
Pierre Clémenti,Le rapt
Pierre Clémenti,Clash
Pierre Clémenti,Dog Day
Pierre Clémenti,Brückenschläge
Pierre Clémenti,L'étrange château du docteur Lerne
Pierre Clémenti,L'homme de la nuit
Pierre Clémenti,Ediths Tagebuch
Pierre Clémenti,Il faut marier Julie
Pierre Clémenti,Par ordre du Roy
Pierre Clémenti,Exposed
Pierre Clémenti,La steppe
Pierre Clémenti,La vraie histoire de Gérard Lechômeur
Pierre Clémenti,Deuil en vingt-quatre heures
Pierre Clémenti,Chassé-croisé
Pierre Clémenti,"Forty-four, or Bedtime Stories"
Pierre Clémenti,Paris Goes Away
Pierre Clémenti,L'amour des femmes
Pierre Clémenti,Le Pont du Nord
Pierre Clémenti,Les enquêtes du commissaire Maigret
Pierre Clémenti,Une confidence de Maigret
Pierre Clémenti,Quartet
Pierre Clémenti,La brune et moi
Pierre Clémenti,Histoires extraordinaires
Pierre Clémenti,The Fall of the House of Usher
Pierre Clémenti,Stridura
Jean-Louis Trintignant,The Best Years of a Life
Jean-Louis Trintignant,Happy End
Jean-Louis Trintignant,Amour
Jean-Louis Trintignant,Stranger Than Fiction
Jean-Louis Trintignant,Galilée ou L'amour de Dieu
Jean-Louis Trintignant,Immortal
Jean-Louis Trintignant,Janis and John
Jean-Louis Trintignant,L'illusion des apparences
Jean-Louis Trintignant,Those Who Love Me Can Take the Train
Jean-Louis Trintignant,Un homme est tombé dans la rue
Jean-Louis Trintignant,Tykho Moon
Jean-Louis Trintignant,L'insoumise
Jean-Louis Trintignant,A Self-Made Hero
Jean-Louis Trintignant,C'est jamais loin
Jean-Louis Trintignant,Fiesta
Jean-Louis Trintignant,The City of Lost Children
Jean-Louis Trintignant,See How They Fall
Jean-Louis Trintignant,Three Colors: Red
Jean-Louis Trintignant,Rêveuse jeunesse
Jean-Louis Trintignant,L'interdiction
Jean-Louis Trintignant,L'oeil écarlate
Jean-Louis Trintignant,L'instinct de l'ange
Jean-Louis Trintignant,Day of Atonement
Jean-Louis Trintignant,La controverse de Valladolid
Jean-Louis Trintignant,Merci La Vie
Jean-Louis Trintignant,Pour un oui ou pour un non
Jean-Louis Trintignant,Julie de Carneilhan
Jean-Louis Trintignant,Bunker palace hôtel
Jean-Louis Trintignant,La vallée fantôme
Jean-Louis Trintignant,Le moustachu
Jean-Louis Trintignant,The Woman of My Life
Jean-Louis Trintignant,15 août
Jean-Louis Trintignant,A Man and a Woman: 20 Years Later
Jean-Louis Trintignant,L'homme aux yeux d'argent
Jean-Louis Trintignant,Sortüz egy fekete bivalyért
Jean-Louis Trintignant,Rendez-vous
Jean-Louis Trintignant,"Partir, revenir"
Jean-Louis Trintignant,L'été prochain
Jean-Louis Trintignant,Long Live Life
Jean-Louis Trintignant,Femmes de personne
Jean-Louis Trintignant,Le bon plaisir
Jean-Louis Trintignant,Under Fire
Jean-Louis Trintignant,Cover Up
Jean-Louis Trintignant,Confidentially Yours
Jean-Louis Trintignant,Credo
Jean-Louis Trintignant,Colpire al cuore
Jean-Louis Trintignant,That Night in Varennes
Jean-Louis Trintignant,Boulevard des assassins
Jean-Louis Trintignant,The Big Pardon
Jean-Louis Trintignant,Deep Water
Jean-Louis Trintignant,Dead Certain
Jean-Louis Trintignant,Malevil
Jean-Louis Trintignant,Passion of Love
Pasquale Fortunato,The Conformist
Pasquale Fortunato,Hatchet for the Honeymoon
Pasquale Fortunato,That Splendid November
Pasquale Fortunato,Dov'è la libertà...?
Joel Barcellos,The Lady from Estacio
Pierre Clémenti,Cauchemar
Pierre Clémenti,New Old
Pierre Clémenti,Madame Sourdis
Pierre Clémenti,Zoo zéro
Pierre Clémenti,Autoportrait schizophrène
Pierre Clémenti,Disparate Beaches
Pierre Clémenti,Little Lips
Pierre Clémenti,Les grandes conjurations
Pierre Clémenti,Le tumulte d'Amboise
Pierre Clémenti,The Song of Roland
Pierre Clémenti,Ces oiseaux de feu
Pierre Clémenti,Mardi et mercredi
Pierre Clémenti,The Sorceror's Apprentice
Pierre Clémenti,Le berceau de cristal
Pierre Clémenti,The Red Poster
Pierre Clémenti,Just Call Me Lucifer
Pierre Clémenti,The son of Amr is dead
Pierre Clémenti,De quoi s'agit-il?
Pierre Clémenti,Jennifer
Pierre Clémenti,Steppenwolf
Pierre Clémenti,Sweet Movie
Pierre Clémenti,The Irony of Chance
Pierre Clémenti,Crush Proof
Pierre Clémenti,The Inner Scar
Pierre Clémenti,The Designated Victim
Pierre Clémenti,La famille
Pierre Clémenti,Jupiter
Pierre Clémenti,Marie pleine de grâce
Pierre Clémenti,Renaissance
Pierre Clémenti,The Pacifist
Pierre Clémenti,Antenna
Pierre Clémenti,Necropolis
Pierre Clémenti,"Ninì Tirabusciò, la donna che inventò la mossa"
Pierre Clémenti,Cutting Heads
Pierre Clémenti,The Conformist
Pierre Clémenti,The Year of the Cannibals
Pierre Clémenti,Porcile
Pierre Clémenti,His Day of Glory
Pierre Clémenti,The Virgin's Bed
Pierre Clémenti,The Milky Way
Pierre Clémenti,Chromo sud
Pierre Clémenti,Lune X
Pierre Clémenti,Un film porno
Pierre Clémenti,"Listen, Let's Make Love"
Pierre Clémenti,Partner
Pierre Clémenti,Wheel of Ashes
Pierre Clémenti,Les idoles
Pierre Clémenti,The Diary of an Innocent Boy
Jean-Louis Trintignant,Un assassin qui passe
Jean-Louis Trintignant,Je vous aime
Jean-Louis Trintignant,The Lady Banker
Jean-Louis Trintignant,La terrazza
Jean-Louis Trintignant,Melancoly Baby
Jean-Louis Trintignant,Le maître-nageur
Jean-Louis Trintignant,Other People's Money
Jean-Louis Trintignant,L'affaire
Jean-Louis Trintignant,Faces of Love
Jean-Louis Trintignant,The Passengers
Jean-Louis Trintignant,The Desert of the Tartars
Jean-Louis Trintignant,The Honeymoon Trip
Jean-Louis Trintignant,The Probability Factor
Jean-Louis Trintignant,The Sunday Woman
Jean-Louis Trintignant,Rain over Santiago
Jean-Louis Trintignant,Flic Story
Jean-Louis Trintignant,Act of Aggression
Jean-Louis Trintignant,Playing with Fire
Jean-Louis Trintignant,The Secret
Jean-Louis Trintignant,Escapade
Jean-Louis Trintignant,Love at the Top
Jean-Louis Trintignant,Successive Slidings of Pleasure
Jean-Louis Trintignant,Les violons du bal
Jean-Louis Trintignant,The Last Train
Jean-Louis Trintignant,Défense de savoir
Jean-Louis Trintignant,A Full Day's Work
Jean-Louis Trintignant,The Outside Man
Jean-Louis Trintignant,The Assassination
Jean-Louis Trintignant,And Hope to Die
Jean-Louis Trintignant,Without Apparent Motive
Jean-Louis Trintignant,The Crook
Jean-Louis Trintignant,Secret Intentions
Jean-Louis Trintignant,The Conformist
Jean-Louis Trintignant,Ramparts of Clay
Jean-Louis Trintignant,So Sweet... So Perverse
Jean-Louis Trintignant,L'Américain
Jean-Louis Trintignant,L'opium et le baton
Jean-Louis Trintignant,Crime Thief
Jean-Louis Trintignant,My Night at Maud's
Jean-Louis Trintignant,Love Circle
Jean-Louis Trintignant,Z
Jean-Louis Trintignant,The Libertine
Jean-Louis Trintignant,The Great Silence
Jean-Louis Trintignant,La société est une fleur carnivore
Jean-Louis Trintignant,The Man Who Lies
Jean-Louis Trintignant,Les Biches
Jean-Louis Trintignant,Plucked
Jean-Louis Trintignant,A Man to Kill
Jean-Louis Trintignant,I Am What I Am
Jean-Louis Trintignant,"My Love, My Love"
Jean-Louis Trintignant,Trans-Europ-Express
Jean-Louis Trintignant,Is Paris Burning?
Jean-Louis Trintignant,Diamond Safari
Jean-Louis Trintignant,A Man and a Woman
Jean-Louis Trintignant,La longue marche
Jean-Louis Trintignant,Seventeenth Heaven
Jean-Louis Trintignant,"Fragilité, ton nom est femme"
Joel Barcellos,The Naked Man
Joel Barcellos,The Protectors
Joel Barcellos,Viver por Viver
Joel Barcellos,Olhos de Vampa
Joel Barcellos,Cutie Pie... Her Loves and Sins
Joel Barcellos,Show all 12 episodes
Joel Barcellos,Memorial de Maria Moura
Joel Barcellos,Você Decide
Joel Barcellos,Anjos Marginais
Joel Barcellos,Secrets of Sand
Joel Barcellos,Tereza Batista
Joel Barcellos,Show all 28 episodes
Joel Barcellos,Beijo 2348/72
Joel Barcellos,Manhattan
Joel Barcellos,Jardim de Alah
Joel Barcellos,Presença de Marisa
Joel Barcellos,Sonhei com Você
Joel Barcellos,Fronteira das Almas
Joel Barcellos,"Exu-Piá, Coração de Macunaíma"
Joel Barcellos,Amenic - Entre o Discurso e a Prática
Joel Barcellos,Rio Babilonia
Joel Barcellos,The Secret of the Mummy
Joel Barcellos,Luz del Fuego
Joel Barcellos,Corações a Mil
Joel Barcellos,Crônica à Beira do Rio
Joel Barcellos,Insônia
Joel Barcellos,Agonia
Joel Barcellos,Batalha dos Guararapes
Joel Barcellos,Parada 88 - O Limite de Alerta
Joel Barcellos,"Anchieta, José do Brasil"
Joel Barcellos,A Virgem da Colina
Joel Barcellos,Paraíso no Inferno
Joel Barcellos,Feminino Plural
Joel Barcellos,Incarnation
Joel Barcellos,Indulto de Natal
Joel Barcellos,"Ovelha Negra, Uma Despedida de Solteiro"
Joel Barcellos,Sagarana: The Duel
Joel Barcellos,France Inc.
Joel Barcellos,O Pica-pau Amarelo
Joel Barcellos,Rua Descalça
Joel Barcellos,Tatu Bola
Joel Barcellos,L'inchiesta
Joel Barcellos,The Conformist
Joel Barcellos,Cronaca
Joel Barcellos,Memória de Helena
Joel Barcellos,Um Homem e Sua Jaula
Joel Barcellos,Jardim de Guerra
Joel Barcellos,Copacabana Fools Me
Joel Barcellos,Voyage to the End of the World
Joel Barcellos,Tropici
Joel Barcellos,The Deceased
Joel Barcellos,Girl of Ipanema
Joel Barcellos,Proêzas de Satanás na Vila de Leva-e-Traz
Joel Barcellos,Entranced Earth
Joel Barcellos,A Grande Cidade ou As Aventuras e Desventuras de Luzia e Seus 3 Amigos Chegados de Longe
Joel Barcellos,The Dare
Joel Barcellos,My Home Is Copacabana
Joel Barcellos,The Guns
Joel Barcellos,The Beggars
Joel Barcellos,Cinco vezes Favela
Joel Barcellos,"Trabalhou Bem, Genival"
Joel Barcellos,Paraíso no Inferno
Joel Barcellos,Tatu Bola
Joel Barcellos,Paraíso no Inferno
Joel Barcellos,Paraíso no Inferno
Pierre Clémenti,Visa de censure n°X
Pierre Clémenti,Homeo
Pierre Clémenti,Lamiel
Pierre Clémenti,Pop' game
Pierre Clémenti,Belle de Jour
Pierre Clémenti,Shock Troops
Pierre Clémenti,La vie très étrange de Madame Anastasie
Pierre Clémenti,Les compagnons de Jehu
Pierre Clémenti,Le coeur et l'épée
Pierre Clémenti,Les masques
Pierre Clémenti,Brigade Anti Gangs
Pierre Clémenti,The Man Who Laughs
Pierre Clémenti,Les Bargasses
Pierre Clémenti,Goetz von Berlichingen
Pierre Clémenti,How Not to Rob a Department Store
Pierre Clémenti,Enchanted Isles
Pierre Clémenti,Les cinq dernières minutes
Pierre Clémenti,Une affaire de famille
Pierre Clémenti,The Leopard
Pierre Clémenti,Adorable menteuse
Pierre Clémenti,Flore et Blancheflore
Pierre Clémenti,Jack of Spades
Pierre Clémenti,Les frangines
Pierre Clémenti,The Sun
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,New Old
Pierre Clémenti,La deuxième femme
Pierre Clémenti,Vision spectacle première
Pierre Clémenti,L'ange et le démon
Pierre Clémenti,Esméralda
Pierre Clémenti,Art de vie
Pierre Clémenti,Positano
Pierre Clémenti,Livret de famille
Pierre Clémenti,Souvenirs souvenirs
Pierre Clémenti,The Revolution Is Only a Beginning: Let's Continue Fighting
Pierre Clémenti,Visa de censure n°X
Pierre Clémenti,The Sun
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,L'ange et le démon
Pierre Clémenti,Esméralda
Pierre Clémenti,Art de vie
Pierre Clémenti,Visa de censure n°X
Pierre Clémenti,The Sun
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,New Old
Pierre Clémenti,The Revolution Is Only a Beginning: Let's Continue Fighting
Pierre Clémenti,Visa de censure n°X
Pierre Clémenti,The Sun
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,The Revolution Is Only a Beginning: Let's Continue Fighting
Pierre Clémenti,Visa de censure n°X
Pierre Clémenti,In the Shadow of the Blue Rascal
Pierre Clémenti,Homeo
Pierre Clémenti,La vraie histoire de Gérard Lechômeur
Pierre Clémenti,"Philippe Garrel vu par Jackie Raynal, Philippe Azoury et moi (Carnet Filmé: 22 décembre 2015)"
Pierre Clémenti,L'Oeil du cyclone
Pierre Clémenti,Le Trip psychédélique
Pierre Clémenti,Le cercle du cinéma
Pierre Clémenti,Lunettes noires pour nuits blanches
Pierre Clémenti,Les Jours et les Nuits (Carnet Filmé: 1er janvier 1986 - 31 décembre 1986)
Pierre Clémenti,Gym tonic
Pierre Clémenti,Un comédien lit un auteur
Pierre Clémenti,Pierre Clémenti lit Victor Segalen
Jean-Louis Trintignant,Le train bleu s'arrête 13 fois
Jean-Louis Trintignant,Lyon: marché en main
Jean-Louis Trintignant,The Sleeping Car Murder
Jean-Louis Trintignant,Angelique: The Road to Versailles
Jean-Louis Trintignant,"I Kill, You Kill"
Jean-Louis Trintignant,The Real Bargain
Jean-Louis Trintignant,Inferno
Jean-Louis Trintignant,Secret Agent FX18
Jean-Louis Trintignant,The Whistlers
Jean-Louis Trintignant,Avatar
Jean-Louis Trintignant,The Last Steps
Jean-Louis Trintignant,L'un d'entre vous
Jean-Louis Trintignant,"Nutty, Naughty Chateau"
Jean-Louis Trintignant,Il successo
Jean-Louis Trintignant,Un jour à Paris
Jean-Louis Trintignant,Il Sorpasso
Jean-Louis Trintignant,Le combat dans l'île
Jean-Louis Trintignant,The Fabiani Affair
Jean-Louis Trintignant,The Seven Deadly Sins
Jean-Louis Trintignant,Le jeu de la vérité
Jean-Louis Trintignant,Le puits aux trois vérités
Jean-Louis Trintignant,Journey Beneath the Desert
Jean-Louis Trintignant,Spotlight on a Murderer
Jean-Louis Trintignant,Le coeur battant
Jean-Louis Trintignant,The Battle of Austerlitz
Jean-Louis Trintignant,The Thousandth Window
Jean-Louis Trintignant,Parfois le dimanche
Jean-Louis Trintignant,Violent Summer
Jean-Louis Trintignant,Les liaisons dangereuses
Jean-Louis Trintignant,Club of Women
Jean-Louis Trintignant,...And God Created Woman
Jean-Louis Trintignant,Law of the Streets
Jean-Louis Trintignant,Pechiney
Jean-Louis Trintignant,If All the Guys in the World...
Jean-Louis Trintignant,L'assassin a pris le métro
Jean-Louis Trintignant,L'oeil écarlate
Jean-Louis Trintignant,Le maître-nageur
Jean-Louis Trintignant,A Full Day's Work
Jean-Louis Trintignant,Last Tango in Paris
Jean-Louis Trintignant,Le maître-nageur
Jean-Louis Trintignant,A Full Day's Work
Jean-Louis Trintignant,Barbarella
Jean-Louis Trintignant,Arthur H - Baba Love ou la beauté de l'amour
Jean-Louis Trintignant,"Western, Italian Style"
Jean-Louis Trintignant,La nuit des Césars
Jean-Louis Trintignant,46e cérémonie des César
Jean-Louis Trintignant,38ème nuit des Césars
Jean-Louis Trintignant,Stupefying!
Jean-Louis Trintignant,Cinéma: état des lieux
Jean-Louis Trintignant,'Sono Gassman!' Vittorio re della commedia
Jean-Louis Trintignant,19 h le dimanche
Jean-Louis Trintignant,Tourner pour vivre
Jean-Louis Trintignant,Alexander Payne Introduction to 'Il Sorpasso'
Jean-Louis Trintignant,Ettore Scola on 'Il Sorpasso'
Jean-Louis Trintignant,Commeddia all'italiana and Il Sorpasso
Jean-Louis Trintignant,Rémy Julienne: 50 ans de cascades
Jean-Louis Trintignant,Michael H. Profession: Director
Joel Barcellos,Neville D'Almeida: Cronista da Beleza e do Caos
Joel Barcellos,Plano B
Joel Barcellos,Aperana Street 52
Joel Barcellos,Di Cavalcanti
Joel Barcellos,Cinema
Joel Barcellos,Improvisiert und zielbewusst
Pierre Clémenti,La deuxième femme
Pierre Clémenti,Le manque
Pierre Clémenti,Les rendez-vous du dimanche
Pierre Clémenti,Lettres de Paris et d'ailleurs
Pierre Clémenti,Hector Berlioz
Pierre Clémenti,Pour le cinéma
Pierre Clémenti,Midi Trente
Pierre Clémenti,Vive le cinéma!
Pierre Clémenti,Positano
Pierre Clémenti,Home Movie: On the Set of Philippe Garrel's 'Le lit de la vierge'
Pierre Clémenti,Souvenirs souvenirs
Pierre Clémenti,Disorder Is 20 Years Old
Pierre Clémenti,Pop Age
Pierre Clémenti,Pour le plaisir
Pierre Clémenti,Le printemps est évident
Pierre Clémenti,21 rue Blanche à Paris
Pierre Clémenti,"Un jour, un destin"
Pierre Clémenti,"Catherine Deneuve, la discrète"
Pierre Clémenti,"Pierre Clémenti, l'absolue liberté"
Pierre Clémenti,Masterclass Jean-Pierre Bouyxou
Pierre Clémenti,Franco Brocani - Cuore meccanico in corpo anonimo
Pierre Clémenti,Fragiles et sublimes... Stars en clair obscur
Pierre Clémenti,Cinema Sex Politics: Bertolucci Makes 'the Dreamers'
Pierre Clémenti,L'Oeil du cyclone
Pierre Clémenti,"Français punk, légèrement destroy"
Pierre Clémenti,V.I.P.-Schaukel
Dominique Sanda,The Peacock's Paradise
Jean-Louis Trintignant,Michel
Jean-Louis Trintignant,Cinema 3
Jean-Louis Trintignant,The 2012 European Film Awards
Jean-Louis Trintignant,Trintignant l'italien
Jean-Louis Trintignant,Kulturzeit
Jean-Louis Trintignant,Cannes Film Festival
Jean-Louis Trintignant,Cérémonie de clôture du 65ème festival de Cannes
Jean-Louis Trintignant,"Jean-Louis Trintignant, pourquoi que je vis"
Jean-Louis Trintignant,Agnes Varda: From Here to There
Jean-Louis Trintignant,Arthur H - Baba Love ou la beauté de l'amour
Jean-Louis Trintignant,"Boris Vian, swing à Saint-Germain des Prés"
Jean-Louis Trintignant,Vittorio racconta Gassman: Una vita da mattatore
Jean-Louis Trintignant,Empreintes
Jean-Louis Trintignant,"Jean-Louis Trintignant, « un honnête homme »"
Jean-Louis Trintignant,Thé ou café
Jean-Louis Trintignant,A Beautiful Vacation
Jean-Louis Trintignant,Denn sie kennen kein Erbarmen - Der Italowestern
Jean-Louis Trintignant,Les contes secrets ou les Rohmériens
Jean-Louis Trintignant,"Vie privée, vie publique"
Jean-Louis Trintignant,"Gloire et fortune, les hauts et les bas"
Jean-Louis Trintignant,Béjart!... Vous avez dit Béjart?...
Jean-Louis Trintignant,Jacques Deray: Le cinéma... ma vie
Jean-Louis Trintignant,Les 13 vies du chat Lelouch
Jean-Louis Trintignant,Nulle part ailleurs
Jean-Louis Trintignant,Bouillon de culture
Jean-Louis Trintignant,L'amour à tout âge
Jean-Louis Trintignant,Les forces de vie
Jean-Louis Trintignant,Cinema Europe: The Other Hollywood
Jean-Louis Trintignant,End of an Era
Jean-Louis Trintignant,Opportunity Lost
Jean-Louis Trintignant,The Music of Light
Jean-Louis Trintignant,The Unchained Camera
Jean-Louis Trintignant,Art's Promised Land
Jean-Louis Trintignant,Show all 6 episodes
Jean-Louis Trintignant,"Ernesto Che Guevara, the Bolivian Diary"
Jean-Louis Trintignant,Dream On
Jean-Louis Trintignant,Océaniques - Des idées des hommes des oeuvres
Jean-Louis Trintignant,Bertrand Blier: Des valseuses à Merci la vie
Jean-Louis Trintignant,Àngel Casas Show
Jean-Louis Trintignant,7 sur 7
Jean-Louis Trintignant,Mardi cinéma
Jean-Louis Trintignant,Show all 6 episodes
Jean-Louis Trintignant,C'est encore mieux l'après-midi
Dominique Sanda,Karakol
Dominique Sanda,Il Giovane Pertini Combattente per la libertà
Dominique Sanda,Saint Laurent
Dominique Sanda,Going Away
Dominique Sanda,The Island of the Mapmaker's Wife
Dominique Sanda,The Crimson Rivers
Dominique Sanda,Garage Olimpo
Dominique Sanda,Storia di un ufficiale di carriera
Dominique Sanda,Brennendes Herz
Dominique Sanda,Joseph
Dominique Sanda,Nobody's Children
Dominique Sanda,Henry's Romance
Dominique Sanda,Rosenemil
Dominique Sanda,Der Fall Lucona
Dominique Sanda,Albert Savarus
Dominique Sanda,By Way of the Stars
Dominique Sanda,Show all 6 episodes
Dominique Sanda,Warburg: A Man of Influence
Dominique Sanda,The Journey
Dominique Sanda,Naissance d'un Golem
Dominique Sanda,Non siamo soli
Dominique Sanda,Sentiments
Dominique Sanda,Ils n'avaient pas rendez-vous
Dominique Sanda,Voglia di vivere
Dominique Sanda,Guerriers et captives
Dominique Sanda,"I, the Worst of All"
Dominique Sanda,Voyage of Terror: The Achille Lauro Affair
Dominique Sanda,Tolgo il disturbo
Dominique Sanda,Up to Date
Dominique Sanda,Il decimo clandestino
Dominique Sanda,Lenin: The Train
Dominique Sanda,Le lunghe ombre
Dominique Sanda,The Beggars
Dominique Sanda,Corps et biens
